Date,High
2018-02-03,9097
2018-02-02,10188
2018-02-01,10324
2018-01-31,11222
2018-01-30,11820
2018-01-29,11989
2018-01-28,11630
2018-01-27,11635
2018-01-26,11742
2018-01-25,11500
2018-01-24,11410
2018-01-23,11911
2018-01-22,12792
2018-01-21,13052
2018-01-20,12050
2018-01-19,12146
2018-01-18,11794
2018-01-17,13607
2018-01-16,14394
2018-01-15,14366
2018-01-14,14619
2018-01-13,14152
2018-01-12,14973
2018-01-11,14900
2018-01-10,15367
2018-01-09,16300
2018-01-08,17150
2018-01-07,17235
2018-01-06,17200
2018-01-05,15430
2018-01-04,15500
2018-01-03,15258
2018-01-02,13942
2018-01-01,14296
2017-12-31,14463
2017-12-30,15111
2017-12-29,15474
2017-12-28,16481
2017-12-27,16148
2017-12-26,14650
2017-12-25,14620
2017-12-24,15756
2017-12-23,15796
2017-12-22,17281
2017-12-21,17950
2017-12-20,19161
2017-12-19,19220
2017-12-18,19666
2017-12-17,19377
2017-12-16,17934
2017-12-15,16830
2017-12-14,17107
2017-12-13,17428
2017-12-12,17270
2017-12-11,15385
2017-12-10,15999
2017-12-09,16667
2017-12-08,16616
2017-12-07,13700
2017-12-06,11850
2017-12-05,11613
2017-12-04,11800
2017-12-03,11200
2017-12-02,10950
2017-12-01,10618
2017-11-30,11395
2017-11-29,9968
2017-11-28,9722
2017-11-27,9367
2017-11-26,8737
2017-11-25,8340
2017-11-24,8280
2017-11-23,8311
2017-11-22,8354
2017-11-21,8270
2017-11-20,8087
2017-11-19,7858
2017-11-18,7997
2017-11-17,7977
2017-11-16,7350
2017-11-15,6750
2017-11-14,6776
2017-11-13,6489
2017-11-12,6820
2017-11-11,7343
2017-11-10,7490
2017-11-09,7888
2017-11-08,7245
2017-11-07,7421
2017-11-05,7590
2017-11-04,7570
2017-11-03,7500
2017-11-02,7354
2017-11-01,6670
2017-10-31,6420
2017-10-30,6230
2017-10-29,6317
2017-10-28,5876
2017-10-27,5994
2017-10-26,5988
2017-10-25,5716
2017-10-24,5884
2017-10-23,6045
2017-10-22,6084
2017-10-21,6180
2017-10-20,6074
2017-10-19,5735
2017-10-18,5600
2017-10-17,5807
2017-10-16,5748
2017-10-15,5830
2017-10-14,5767
2017-10-13,5846
2017-10-12,5388
2017-10-11,4870
2017-10-10,4910
2017-10-09,4865
2017-10-08,4612
2017-10-07,4449
2017-10-06,4425
2017-10-05,4359
2017-10-04,4343
2017-10-03,4425
2017-10-02,4453
2017-10-01,4364
2017-09-30,4349
2017-09-29,4228
2017-09-28,4270
2017-09-27,4207
2017-09-26,3970
2017-09-25,3969
2017-09-24,3783
2017-09-23,3810
2017-09-22,3762
2017-09-21,3960
2017-09-20,4050
2017-09-19,4120
2017-09-18,4123
2017-09-17,3773
2017-09-16,3873
2017-09-15,3820
2017-09-14,3935
2017-09-13,4182
2017-09-12,4378
